NAME_AREA,ROAD,CODE_DISTRICT,DISTRICT,GEOX,GEOY
Àrea d'Esbarjo per a Gossos  *Plaça Wagner,Pl Wagner,5,Sarrià-Sant Gervasi,41.39270909917788,2.139448547511958
Àrea d'Esbarjo per a Gossos  *Plaça de Martí Llauradó,Pl Martí Llauradó,5,Sarrià-Sant Gervasi,41.39479121571907,2.131292051544364
Àrea d'Esbarjo per a Gossos  *Hondures - Sagrera - Josep Estivill,C Josep Estivill,9,Sant Andreu,41.41990449242255,2.190641315923982
Àrea d'Esbarjo per a Gossos,Av Icària,10,Sant Martí,41.387754573034655,2.1924344149607857
Àrea d'Esbarjo per a Gossos  *Travessera de Gràcia,Trav Gràcia,6,Gràcia,41.40441926889999,2.162479354818874
Àrea d'Esbarjo per a Gossos  *Plaça Julio González,Pl Julio González,10,Sant Martí,41.40138566453392,2.2073054780587804
Àrea d'Esbarjo per a Gossos,Av Rio de Janeiro,8,Nou Barris,41.432124748647816,2.1812845806870365
Àrea d'Esbarjo per a Gossos,Pl Major de Nou Barris,8,Nou Barris,41.4368445525108,2.1712296246319656
Àrea d'Esbarjo per a Gossos,C València,10,Sant Martí,41.41207557511501,2.188924138968785
Àrea d'Esbarjo per a Gossos *avinguda Coll de Portell,Av Coll del Portell,6,Gràcia,41.414006682280736,2.149961550947353
Àrea d'Esbarjo per a Gossos,Carrer de Llull,10,Sant Martí,41.40934360040034,2.2133515989951564
Àrea d'Esbarjo per a Gossos,G.V. Corts Catalanes,3,Sants-Montjuïc,41.368634514222805,2.14105045396157
Àrea d'Esbarjo per a Gossos,Carrer de Muntadas,3,Sants-Montjuïc,41.37749032961892,2.1407478666950324
Àrea d'Esbarjo per a Gossos,Parc Ciutadella,1,Ciutat Vella,41.39058962785762,2.187612316872371
Àrea d'Esbarjo per a Gossos,C Aragó,2,Eixample,41.378838623154,2.1473347473580118
Àrea d'Esbarjo per a Gossos,C Maignon,6,Gràcia,41.40964562414508,2.152842287149376
Àrea d'Esbarjo per a Gossos,C Rovira i Virgili,9,Sant Andreu,41.42825550551027,2.188832880770513
Àrea d'Esbarjo per a Gossos,Av Litoral,10,Sant Martí,41.39673482773773,2.20822742963355
Àrea d'Esbarjo per a Gossoss  *Plaça Olivereta,Pl Olivereta,3,Sants-Montjuïc,41.37246836094022,2.129098408976396
Àrea d'Esbarjo per a Gossos,Pl Corts,4,Les Corts,41.3864806148084,2.1360871520762537
Àrea d'Esbarjo per a Gossos,C Marquès de Sentmenat,4,Les Corts,41.38488898502414,2.13528114304429
Àrea d'Esbarjo per a Gossos,C Taquígraf Garriga,4,Les Corts,41.38913388090289,2.1377475781953947
Àrea d'Esbarjo per a Gossos,Carrer dels Escultors Claperós,10,Sant Martí,41.4084710539252,2.190017916377695
Àrea d'Esbarjo per a Gossos  * carrer Cinca,Carrer del Cinca,9,Sant Andreu,41.43636383001619,2.192371216460914
Àrea d'Esbarjo per a Gossos  *Carrer Esteve Terrades,C Esteve Terradas,6,Gràcia,41.41374933906606,2.141259928946419
Àrea d'Esbarjo per a Gossos,Av Vallcarca,6,Gràcia,41.41693061236538,2.141848467458373
Àrea d'Esbarjo per a Gossos,C Juan de Mena,7,Horta-Guinardó,41.43121082706346,2.1479600231800777
Àrea d'Esbarjo per a Gossos,Trav Gràcia,7,Horta-Guinardó,41.40977850723608,2.1686584215423337
Àrea d'Esbarjo per a Gossos,C Antic del Guinardó,7,Horta-Guinardó,41.41806100301206,2.1748669385202937
Àrea d'Esbarjo per a Gossos *Escultor Claperòs - Aragó,Carrer dels Escultors Claperós,10,Sant Martí,41.41130572984024,2.1909094625583485
Àrea d'Esbarjo per a Gossos,C Casanova,2,Eixample,41.39006208376872,2.1529711276398347
Àrea d'Esbarjo per a Gossos * Passatge Xinxó,Ptge Xinxó,7,Horta-Guinardó,41.42640018568979,2.15449475547706
Àrea d'Esbarjo per a Gossos,C Joan Güell,3,Sants-Montjuïc,41.378379016249056,2.133412246511717
Àrea d'Esbarjo per a Gossos,C Foc,3,Sants-Montjuïc,41.35939518170007,2.1448087034645438
Àrea d'Esbarjo per a Gossos,Pg Fabra i Puig,8,Nou Barris,41.43121669810167,2.1641719956856984
Àrea d'Esbarjo per a Gossos,Carrer de l'Isard,8,Nou Barris,41.43917480827107,2.170691986028303
Àrea d'Esbarjo per a Gossos Conca - Sant Antoni Maria Claret - Indústria,C Sant Antoni Maria Claret,10,Sant Martí,41.41426519749023,2.1785970770178253
Àrea d'Esbarjo per a Gossos,C Lope de Vega,10,Sant Martí,41.41162448134339,2.194280763269848
Àrea d'Esbarjo per a Gossos,Pl Ildefons Cerdà,3,Sants-Montjuïc,41.36492871730164,2.136318854001666
Àrea d'Esbarjo per a Gossos,Av República Argentina,5,Sarrià-Sant Gervasi,41.4113814955394,2.143654702418602
Àrea d'Esbarjo per a Gossos  *Santander - Pg. Enric Sanchis,C Santander,9,Sant Andreu,41.43283769469532,2.205836081086366
Àrea d'Esbarjo per a Gossos  *Plaça Congrés Eucarístic,Pl Congrés Eucarístic,9,Sant Andreu,41.42541132308801,2.180968877552914
Àrea d'Esbarjo per a Gossos  *Jardins Manuel J. Arnalot,C Natzaret,7,Horta-Guinardó,41.42585212365064,2.136576769907588
Àrea d'Esbarjo per a Gossos,C Montevideo,5,Sarrià-Sant Gervasi,41.3989932858745,2.114023957049352
Àrea d'Esbarjo per a Gossos  *Jardins de Martí Luter - Passatge Maluquer,Ptge Maluquer,5,Sarrià-Sant Gervasi,41.40899017717368,2.1367443930848147
Àrea d'Esbarjo per a Gossos,C Dante Alighieri,7,Horta-Guinardó,41.42769015831456,2.157447662343646
Àrea d'Esbarjo per a Gossos,Av Diagonal,10,Sant Martí,41.40679356695045,2.199757373643509
Àrea d'Esbarjo per a Gossos,C Francesc Pérez-Cabrero,5,Sarrià-Sant Gervasi,41.39397376518052,2.140208725788176
Àrea d'Esbarjo per a Gossos *avinguda Meridiana - Via Favència  - Cooperació,Avinguda Meridiana,8,Nou Barris,41.44667301587626,2.1872877534059483
Àrea d'Esbarjo per a Gossos *Aragó - Bilbao - Lope de Vega,Rbla Guipúscoa,10,Sant Martí,41.41365579320005,2.193112645163126
Àrea d'Esbarjo per a Gossos *Plaça Heroïnes de Girona,C Rosselló,10,Sant Martí,41.4100489688419,2.179889170443603
Àrea d'Esbarjo per a Gossos,C Rosselló,2,Eixample,41.3855096403057,2.146784573842304
Àrea d'Esbarjo per a Gossos,C Nàpols,2,Eixample,41.393064355878494,2.182441974726121
Àrea d'Esbarjo per a Gossos,C Indústria,2,Eixample,41.40796085984798,2.171030080755086
Àrea d'Esbarjo per a Gossos  *Plaça Sagrada Família,Pl Sagrada Família,2,Eixample,41.40197393230216,2.1728272813678537
Àrea d'Esbarjo per a Gossos  *Plaça Doctor Letamendi,Pl Doctor Letamendi,2,Eixample,41.38858477541762,2.161095138073648
Àrea  d'Esbarjo per a Gossos  *Bosch i Gimpera,C Bosch i Gimpera,4,Les Corts,41.3947627001385,2.118062495679003
Àrea d'Esbarjo per a Gossos,C Hurtado,5,Sarrià-Sant Gervasi,41.41039828659785,2.1409845236872758
Àrea d'Esbarjo per a Gossos,C Vila i Vilà,3,Sants-Montjuïc,41.37257769483535,2.1746377388230287
Àrea d'Esbarjo per a Gossos,C Manacor,5,Sarrià-Sant Gervasi,41.407464947326254,2.1430348062786257
Àrea d'Esbarjo per a Gossos *Park Güell Forestal,C Farigola,6,Gràcia,41.41468577944135,2.147788799189441
Àrea d'Esbarjo per a Gossos *Juan de Mena-Vall Hebrón,C Juan de Mena,7,Horta-Guinardó,41.43065461392242,2.1476815282049206
Àrea d'Esbarjo per a Gossos,C Llobregós,7,Horta-Guinardó,41.42263370942472,2.1533099998848826
Àrea d'Esbarjo per a Gossos,Carrer del Pintor Ribalta,4,Les Corts,41.378460384452616,2.1161518520857987
Àrea d'Esbarjo per a Gossos,C Ramon Turró,10,Sant Martí,41.40377081522657,2.2078452555244152
Àrea d'Esbarjo per a Gossos,C Robrenyo,3,Sants-Montjuïc,41.38271019938208,2.141062060935297
Àrea d'Esbarjo  per a Gossos *Pg Maragall -Trinxant - Juan de Garay,C Juan de Garay,9,Sant Andreu,41.41775012907441,2.181049883078466
Àrea d'Esbarjo per a Gossos,Pg Santa Coloma,9,Sant Andreu,41.44805555578773,2.196401168622237
Àrea d'Esbarjo per a Gossos,Trav Corts,4,Les Corts,41.37980133620598,2.12454065945754
Àrea d'Esbarjo per a Gossos,C Jiménez i Iglesias,4,Les Corts,41.38914631457455,2.122553324506228
Àrea d'Esbarjo per a Gossos,Av Albert Bastardas,4,Les Corts,41.38013985901563,2.107709939650201
Àrea d'Esbarjo per a Gossos,Pg Marítim Barceloneta,1,Ciutat Vella,41.38295492977149,2.1922718564968324
Àrea d'Esbarjo per a Gossos Torrent del Remei *Park Güell Forestal,C Torrent del Remei,6,Gràcia,41.4163410420112,2.14855097581996
Àrea d'Esbarjo per a Gossos,Carrer de Ferran Junoy,9,Sant Andreu,41.43673983289529,2.194902677273809
Àrea d'Esbarjo per a Gossos,C Nou de la Rambla,3,Sants-Montjuïc,41.37046396116055,2.1658337161656225
Àrea d'Esbarjo per a Gossos,C Flos i Calcat,4,Les Corts,41.39030973515104,2.129140080090244
Àrea d'Esbarjo per a Gossos,C Viladomat,2,Eixample,41.38159040993856,2.1540036291795106
Àrea d'Esbarjo per a Gossos,Sant Pau,1,Ciutat Vella,41.37650077245051,2.16931451433491
Àrea d'Esbarjo per a Gossos *Ferran Junoy - Tucuman,Carrer de Ferran Junoy,9,Sant Andreu,41.44487996218887,2.19871999810717
Àrea d'Esbarjo per a Gossos * Av. Meridiana,Av Meridiana,10,Sant Martí,41.40903074292967,2.186590537673176
Àrea d'Esbarjo per a Gossos *Nàpols,C Nàpols,2,Eixample,41.39633965998369,2.1783780052474326
Àrea d'Esbarjo per a Gossos *Plaça Ventura i Gassol,Pl Ventura Gassol,5,Sarrià-Sant Gervasi,41.40673631853347,2.1476310625423354
Àrea d'Esbarjo per a Gossos  *Carrer Farigola,C Farigola,6,Gràcia,41.41257387522623,2.146278801912153
Àrea d'Esbarjo per a Gossos *Plaça Palmeres,Pl Palmeres,9,Sant Andreu,41.432401409649536,2.1863412717666497
Àrea d'Esbarjo per a Gossos *avinguda Diagonal - Consell de Cent - Padilla,Av Diagonal,2,Eixample,41.40241159012263,2.181888429498738
Àrea d'Esbarjo per a Gossos *Avinguda Mistral  - Vilamarí - Av Paral·lel,Av Mistral,2,Eixample,41.37573911848805,2.1528330580055584
Àrea d'Esbarjo per a Gossos,C Sant Salvador,6,Gràcia,41.40742274614151,2.154097148275974
Àrea d'Esbarjo per a Gossos,C Manacor,5,Sarrià-Sant Gervasi,41.40653236815993,2.142316843496252
Àrea d'Esbarjo per a Gossos,C Thous,7,Horta-Guinardó,41.41427653406478,2.166926362658947
Àrea d'Esbarjo per a Gossos,C Lamote de Grignon,4,Les Corts,41.39081550404113,2.1262320509574923
Àrea d'Esbarjo per a Gossos,C Fondal de Sant Martí,10,Sant Martí,41.42092021786463,2.1968555722879595
Àrea d'Esbarjo per a Gossos *Priorat,C Priorat,3,Sants-Montjuïc,41.37433569123223,2.1394181842579703
Àrea d'Esbarjo per a Gossos,Carrer de Ganduxer,5,Sarrià-Sant Gervasi,41.39313813819587,2.138297654412764
"Àrea d'Esbarjo per a Gossos  *Via Trajana - Santander - Verneda, Pg. - Binefar",Via Trajana,10,Sant Martí,41.42837043062816,2.2037033114114783
Àrea d'Esbarjo per a Gossos *Plaça Rosa Sabater,Pl Rosa Sabater,5,Sarrià-Sant Gervasi,41.40791284567274,2.137363551162104
Àrea d'Esbarjo per a Gossos  *Jardins Can Marcet,Av Can Marcet,7,Horta-Guinardó,41.43485619902768,2.1512926328615456
Àrea d'Esbarjo per a Gossos  *Capsec,C Capsec,8,Nou Barris,41.43495030050961,2.1640891475792863
Àrea d'Esbarjo per a Gossos *Plaça Alfons Comín,Pl Alfonso Comín,6,Gràcia,41.4142161449877,2.138100294856294
Àrea d'Esbarjo per a Gossos,C Brusi,5,Sarrià-Sant Gervasi,41.40190748902283,2.1445309541605844
Àrea d'Esbarjo per a Gossos,Av Cardenal Vidal i Barraquer,7,Horta-Guinardó,41.43269861281614,2.151829648608328
Àrea d'Esbarjo per a Gossos,C Gualbes,5,Sarrià-Sant Gervasi,41.40187044043335,2.139774639739934
Àrea d'Esbarjo per a Gossos,C Eduardo Conde,5,Sarrià-Sant Gervasi,41.39390626263015,2.121187244524123
Àrea d'Esbarjo per a Gossos,C Ganduxer,5,Sarrià-Sant Gervasi,41.40362921255799,2.1307490344783555
Àrea d'Esbarjo per a Gossos,Plaça de les Glòries Catalanes,10,Sant Martí,41.403683456120994,2.185280951483655
Àrea d'Esbarjo per a Gossos,Av J. V. Foix,5,Sarrià-Sant Gervasi,41.39585020495406,2.119805315420548
Àrea d'Esbarjo per a Gossos *Torrent Parera - N152,Carrer del Torrent de Perera,9,Sant Andreu,41.45489628276675,2.190092225602745
Àrea d'Esbarjo per a Gossos *Parc Nova Icària,Pl Voluntaris Olímpics,10,Sant Martí,41.38628394171886,2.195210401532787
Àrea d'Esbarjo per a Gossos *Pare Pérez Pulgar,Carrer del Pare Pérez del Pulgar,9,Sant Andreu,41.45365338507982,2.1899947709637875
Àrea d'Esbarjo per a Gossos *Coll i Alentorn,C Coll i Alentorn,7,Horta-Guinardó,41.424369411430085,2.1447036463777898
Àrea d'Esbarjo per a Gossos,Camèlies,7,Horta-Guinardó,41.4136431206065,2.1665860884616808
Àrea d'Esbarjo per a Gossos,Av Sarrià,5,Sarrià-Sant Gervasi,41.39163287699974,2.1373052075830383
